,year,total_previous_u_ties,persisted_u,new_u,dissolved_u,survival_rate_u,formation_rate_u,dissolution_rate_u,total_previous_r_ties,persisted_r,new_r,dissolved_r,survival_rate_r,formation_rate_r,dissolution_rate_r,total_previous_t_ties,persisted_t,new_t,dissolved_t,survival_rate_t,formation_rate_t,dissolution_rate_t
0,1996,3191,2472,829,719,0.7746787840802256,0.25979316828580384,0.22532121591977436,7406,6318,1183,1088,0.8530920874966244,0.15973534971644612,0.14690791250337565,19347,17810,1973,1537,0.9205561585775572,0.10197963508554297,0.07944384142244276
1,1997,3301,2512,920,789,0.7609815207512874,0.27870342320508934,0.2390184792487125,7501,6315,1247,1186,0.8418877483002266,0.16624450073323557,0.15811225169977336,19783,18148,1870,1635,0.9173532831218724,0.09452560279027448,0.08264671687812769
2,1998,3432,2562,954,870,0.7465034965034965,0.27797202797202797,0.2534965034965035,7562,6411,1476,1151,0.8477915895265803,0.19518645860883363,0.15220841047341974,20018,18547,2169,1471,0.9265161354780698,0.10835248276551104,0.07348386452193026
3,1999,3516,2632,1241,884,0.7485779294653014,0.3529579067121729,0.2514220705346985,7887,6639,1737,1248,0.8417649296310384,0.22023583111449221,0.1582350703689616,20716,18952,2570,1764,0.9148484263371307,0.12405869859046148,0.08515157366286928
4,2000,3873,2966,1554,907,0.7658146139943196,0.40123934934159566,0.23418538600568034,8376,7281,2483,1095,0.869269340974212,0.29644221585482333,0.13073065902578795,21522,19859,3407,1663,0.9227302295325713,0.15830313167921198,0.07726977046742868
5,2001,4520,3334,1270,1186,0.7376106194690265,0.2809734513274336,0.26238938053097344,9764,8184,1699,1580,0.8381810733306022,0.17400655469070053,0.1618189266693978,23266,21370,2196,1896,0.91850769363019,0.09438665864351414,0.08149230636981002
6,2002,4604,3386,1309,1218,0.7354474370112946,0.28431798436142486,0.2645525629887055,9883,8361,1811,1522,0.845998178690681,0.1832439542648993,0.15400182130931903,23566,21657,2259,1909,0.9189934651616736,0.09585844012560468,0.0810065348383264
7,2003,4695,3479,1371,1216,0.7410010649627263,0.29201277955271565,0.25899893503727367,10172,8557,1781,1615,0.8412308297286669,0.1750884781753834,0.15876917027133308,23916,22095,2228,1821,0.9238585047666834,0.09315939120254223,0.0761414952333166
8,2004,4850,3718,1439,1132,0.7665979381443299,0.29670103092783506,0.2334020618556701,10338,8767,2017,1571,0.8480363706713098,0.1951054362545947,0.15196362932869026,24323,22366,2209,1957,0.9195411750195288,0.09081938905562636,0.08045882498047116
9,2005,5157,3823,1402,1334,0.7413224743067675,0.2718634865231724,0.2586775256932325,10784,9083,2007,1701,0.8422663204747775,0.18610905044510387,0.15773367952522255,24575,22740,2182,1835,0.9253306205493388,0.08878942014242117,0.07466937945066124
10,2006,5225,3989,1515,1236,0.763444976076555,0.28995215311004785,0.23655502392344496,11090,9307,1940,1783,0.839224526600541,0.17493237150586113,0.16077547339945897,24922,23027,2173,1895,0.9239627638231281,0.08719203916218601,0.07603723617687184
11,2007,5504,4167,1536,1337,0.7570857558139535,0.27906976744186046,0.2429142441860465,11247,9519,2055,1728,0.8463590290744198,0.18271539077087223,0.15364097092558016,25200,23342,2116,1858,0.9262698412698412,0.08396825396825397,0.07373015873015873
12,2008,5703,4312,1522,1391,0.7560932842363668,0.2668770822374189,0.24390671576363318,11574,9652,1981,1922,0.8339381372040781,0.1711594954207707,0.1660618627959219,25458,23621,2108,1837,0.9278419357372928,0.08280304815775003,0.0721580642627072
13,2009,5834,4216,1430,1618,0.7226602673980117,0.24511484401782654,0.27733973260198835,11633,9703,2020,1930,0.8340926674116736,0.17364394395254878,0.16590733258832632,25729,23795,2106,1934,0.9248319017451125,0.08185316180185782,0.07516809825488747
14,2010,5646,4209,1529,1437,0.7454835281615303,0.27081119376549767,0.2545164718384697,11723,9792,1915,1931,0.8352810713981063,0.16335409024993602,0.16471892860189372,25901,24088,1990,1813,0.9300027025983553,0.0768310103856994,0.06999729740164472
15,2011,5738,4197,1474,1541,0.7314395259672359,0.2568839316835134,0.268560474032764,11707,9809,2062,1898,0.8378747757751772,0.1761339369607927,0.16212522422482276,26078,24341,2125,1737,0.9333921312984125,0.08148631029986962,0.06660786870158754
16,2012,5671,4247,1498,1424,0.7488979016046553,0.2641509433962264,0.25110209839534475,11871,9934,2062,1937,0.8368292477466094,0.17370061494398112,0.16317075225339062,26466,24666,2262,1800,0.9319882112899569,0.08546814781228747,0.06801178871004307
17,2013,5745,4331,1503,1414,0.7538729329852045,0.2616187989556136,0.24612706701479548,11996,9967,1847,2029,0.8308602867622541,0.1539679893297766,0.1691397132377459,26928,25037,1909,1891,0.9297756981580511,0.07089275103980987,0.0702243018419489
18,2014,5834,4392,1544,1442,0.7528282482002057,0.2646554679465204,0.2471717517997943,11814,10024,1988,1790,0.8484848484848485,0.16827492805146435,0.15151515151515152,26946,25198,1924,1748,0.935129518295851,0.07140206338603132,0.06487048170414904
19,2015,5936,4430,1655,1506,0.7462938005390836,0.27880727762803237,0.25370619946091644,12012,10085,1942,1927,0.8395770895770895,0.16167166167166167,0.16042291042291043,27122,25395,1817,1727,0.936324754811592,0.06699358454391269,0.06367524518840793
20,2016,6085,4510,1657,1575,0.7411668036154478,0.2723089564502876,0.25883319638455216,12027,10027,1835,2000,0.8337074914775089,0.15257337656938555,0.16629250852249106,27212,25571,1849,1641,0.9396957224753785,0.06794796413347053,0.06030427752462149
21,2017,6167,4568,1594,1599,0.7407167180152424,0.2584725149991892,0.2592832819847576,11862,9951,1906,1911,0.8388973191704603,0.1606811667509695,0.1611026808295397,27420,25684,1830,1736,0.936688548504741,0.06673960612691467,0.06331145149525894
22,2018,6162,4611,1685,1551,0.7482960077896786,0.27345017851346964,0.2517039922103213,11857,9933,1942,1924,0.8377329847347559,0.16378510584464873,0.16226701526524415,27514,25906,1812,1608,0.9415570255142837,0.06585738169659083,0.058442974485716365
23,2019,6296,4746,1612,1550,0.7538119440914867,0.2560355781448539,0.24618805590851334,11875,9958,1839,1917,0.8385684210526316,0.15486315789473684,0.16143157894736843,27718,25903,1644,1815,0.934519085071073,0.05931163864636698,0.06548091492892705
24,2020,6358,4541,1293,1817,0.7142183076439131,0.2033658383139352,0.2857816923560868,11797,9669,1617,2128,0.8196151563956938,0.13706874629143004,0.18038484360430618,27547,25699,1474,1848,0.9329146549533525,0.053508549025302214,0.06708534504664755
25,2021,5834,4532,1832,1302,0.7768255056564964,0.314021254713747,0.2231744943435036,11286,9612,2192,1674,0.8516746411483254,0.19422293106503632,0.14832535885167464,27173,25678,1829,1495,0.9449821514002871,0.0673094615979097,0.05501784859971295
26,2022,6364,4761,1500,1603,0.7481143934632307,0.23570081709616594,0.25188560653676934,11804,9956,1916,1848,0.8434429007116232,0.16231785835310064,0.15655709928837683,27507,25850,1626,1657,0.939760788163013,0.05911222597884175,0.060239211836986946
27,2023,6261,4834,1630,1427,0.7720811371985306,0.26034179843475486,0.22791886280146942,11872,10015,1801,1857,0.8435815363881402,0.15170148247978438,0.15641846361185985,27476,25792,1582,1684,0.9387101470374145,0.05757752220119377,0.06128985296258553
